name,algorithm,k,silhouette_score,chi
kotek-1.png,kmedoids,7,0.37749687251247255,22205.991278956488
kotek-1.png,kmedoids,8,0.3599304027888879,24117.513841880114
kotek-1.png,kmedoids,9,0.35285464262263627,23378.801395839404
kotek-1.png,kmedoids,10,0.33498237461069275,23048.98299488676
kotek-1.png,kmedoids,11,0.3286123112038215,23184.80040707103
kotek-1.png,kmedoids,12,0.3298927830004674,22889.755000580182
kotek-1.png,kmedoids,13,0.323853211569488,22689.641049290374
kotek-1.png,kmedoids,14,0.31793734916097277,23673.78208949624
kotek-1.png,kmedoids,15,0.31941071004919325,23800.611663808013
kotek-1.png,kmedoids,16,0.3137413658286684,23646.65665534391
kotek-1.png,kmedoids,17,0.3074359726193255,23409.275094298922
kotek-1.png,kmedoids,18,0.30827906355036927,23032.552819095028
kotek-1.png,kmedoids,19,0.30240906970663817,23037.039018144947
kotek-1.png,kmedoids,20,0.303755651177259,22731.004463917947
kotek-10.png,kmeans,5,0.5520994710154948,65744.61369259315
kotek-10.png,kmeans,6,0.5229848161692754,64507.44175952099
kotek-10.png,kmeans,7,0.4842839796384518,62031.84693335319
kotek-10.png,kmeans,8,0.4670821763334496,59664.06059371573
kotek-10.png,kmeans,9,0.4467244910774094,59157.01964330141
kotek-10.png,kmeans,10,0.4360837706978268,59042.7271007512
kotek-10.png,kmeans,11,0.43116858449950757,58285.55966541619
kotek-10.png,kmeans,12,0.42334239521014305,57126.758566441524
kotek-10.png,kmeans,13,0.4195394501611084,55991.6133734325
kotek-10.png,kmeans,14,0.4148258367389371,55284.89580754239
kotek-10.png,kmeans,15,0.40979978583696364,54982.434218291564
kotek-10.png,kmeans,16,0.392406798401561,53900.02787536794
kotek-10.png,kmeans,17,0.3930712953925259,53506.48249755437
kotek-10.png,kmeans,18,0.3920355251841724,52886.30543673974
kotek-10.png,kmeans,19,0.3889374045596296,52392.49598641686
kotek-10.png,kmeans,20,0.3862159928416028,52157.13098040065
kotek-10.png,kmedoids,5,0.5393568238053233,64236.179229359666
kotek-10.png,kmedoids,6,0.49077627764502213,61758.39844635236
kotek-10.png,kmedoids,7,0.4533968195820128,59413.43263224202
kotek-10.png,kmedoids,8,0.425130154629161,58968.99129340891
kotek-10.png,kmedoids,9,0.41151362883072756,57762.69107132397
kotek-10.png,kmedoids,10,0.4050079305052948,56258.29832340599
kotek-10.png,kmedoids,11,0.4086252258429998,55744.83068598671
kotek-10.png,kmedoids,12,0.4022239731627472,54090.023566602635
kotek-10.png,kmedoids,13,0.39735912181450833,54061.03395570427
kotek-10.png,kmedoids,14,0.3899079081653362,52445.731446282836
kotek-10.png,kmedoids,15,0.3864162924745765,51317.60481937186
kotek-10.png,kmedoids,16,0.3774748199702097,50452.721925943304
kotek-10.png,kmedoids,17,0.37171352261664337,50376.86980679812
kotek-10.png,kmedoids,18,0.36293434839184047,50068.95534024865
kotek-10.png,kmedoids,19,0.3657980378614404,49742.42229054733
kotek-10.png,kmedoids,20,0.35570925473877935,48773.814566652516
